2024-01-31 16:38:42.604
sensor: 'C14-10 vs CRef1', channels: 101
sensor: 'C14-11 vs CRef1', channels: 102
sensor: 'C14-12 vs CRef1', channels: 103
sensor: 'C14-13 vs CRef1', channels: 104
sensor: 'C14-14 vs CRef1', channels: 105
sensor: 'C14-15 vs CRef1', channels: 106
sensor: 'C14-16 vs CRef1', channels: 107
sensor: 'C14-17 vs CRef1', channels: 109
sensor: 'C14-18 vs CRef1', channels: 110
sensor: 'C14-19 vs CRef1', channels: 111
temperature: 'Omega RTD 4 Wire (Solution)', channels: 108
notes: '30 PPT NaCl, Chicago Data, New Chloride Sensors and (LL References removed)'
**********
2024-01-31 17:08:51.239,107,11.439460 mV
2024-01-31 17:08:51.914,108,22.422000 C
2024-01-31 17:08:52.592,109,8.118310 mV
2024-01-31 17:08:53.259,110,25.674850 mV
2024-01-31 17:08:53.926,111,17.456800 mV
2024-01-31 17:10:47.235,101,13.281110 mV
2024-01-31 17:10:47.903,102,18.531100 mV
2024-01-31 17:10:48.570,103,30.724050 mV
2024-01-31 17:10:49.237,104,-1.583580 mV
2024-01-31 17:10:49.904,105,19.809670 mV
2024-01-31 17:10:50.572,106,8.927140 mV
2024-01-31 17:10:51.239,107,11.451670 mV
2024-01-31 17:10:51.915,108,22.413000 C
2024-01-31 17:10:52.592,109,8.136180 mV
2024-01-31 17:10:53.259,110,25.685330 mV
2024-01-31 17:10:53.926,111,17.467670 mV
2024-01-31 17:12:47.235,101,13.292820 mV
2024-01-31 17:12:47.903,102,18.543060 mV
2024-01-31 17:12:48.570,103,30.734270 mV
2024-01-31 17:12:49.237,104,-1.568410 mV
2024-01-31 17:12:49.904,105,19.820990 mV
2024-01-31 17:12:50.572,106,8.946100 mV
2024-01-31 17:12:51.239,107,11.465620 mV
2024-01-31 17:12:51.914,108,22.403000 C
2024-01-31 17:12:52.592,109,8.155210 mV
2024-01-31 17:12:53.259,110,25.696520 mV
2024-01-31 17:12:53.926,111,17.479370 mV
2024-01-31 17:14:47.235,101,13.305350 mV
2024-01-31 17:14:47.903,102,18.552450 mV
2024-01-31 17:14:48.570,103,30.736780 mV
2024-01-31 17:14:49.237,104,-1.553620 mV
2024-01-31 17:14:49.905,105,19.833200 mV
2024-01-31 17:14:50.572,106,8.960060 mV
2024-01-31 17:14:51.239,107,11.480410 mV
2024-01-31 17:14:51.915,108,22.393000 C
2024-01-31 17:14:52.592,109,8.170260 mV
2024-01-31 17:14:53.259,110,25.709510 mV
2024-01-31 17:14:53.926,111,17.492040 mV
2024-01-31 17:16:47.235,101,13.316090 mV
2024-01-31 17:16:47.903,102,18.567240 mV
2024-01-31 17:16:48.570,103,30.744880 mV
2024-01-31 17:16:49.237,104,-1.538830 mV
2024-01-31 17:16:49.905,105,19.845230 mV
2024-01-31 17:16:50.572,106,8.975100 mV
2024-01-31 17:16:51.239,107,11.494110 mV
2024-01-31 17:16:51.915,108,22.381000 C
2024-01-31 17:16:52.592,109,8.186850 mV
2024-01-31 17:16:53.259,110,25.720500 mV
2024-01-31 17:16:53.926,111,17.503350 mV
2024-01-31 17:18:47.235,101,13.329530 mV
2024-01-31 17:18:47.903,102,18.576180 mV
2024-01-31 17:18:48.570,103,30.749510 mV
2024-01-31 17:18:49.237,104,-1.524040 mV
2024-01-31 17:18:49.904,105,19.857510 mV
2024-01-31 17:18:50.572,106,8.994320 mV
2024-01-31 17:18:51.239,107,11.508570 mV
2024-01-31 17:18:51.915,108,22.371000 C
2024-01-31 17:18:52.592,109,8.203430 mV
2024-01-31 17:18:53.259,110,25.733100 mV
2024-01-31 17:18:53.927,111,17.516340 mV
