2024-01-26 16:10:51.035
sensor: 'C14-10 vs CRef1', channels: 101
sensor: 'C14-11 vs CRef1', channels: 102
sensor: 'C14-12 vs CRef1', channels: 103
sensor: 'C14-13 vs CRef1', channels: 104
sensor: 'C14-14 vs CRef1', channels: 105
sensor: 'C14-15 vs CRef1', channels: 106
sensor: 'C14-16 vs CRef1', channels: 107
sensor: 'C14-17 vs CRef1', channels: 109
sensor: 'C14-18 vs CRef1', channels: 110
sensor: 'C14-19 vs CRef1', channels: 111
sensor: 'LLR3-3(Sat KCl) vs CRef1', channels: 112
sensor: 'LLR3-6(1M KCl) vs CRef1', channels: 113
temperature: 'Omega RTD 4 Wire (Solution)', channels: 108
notes: '30 PPT NaCl, Chicago Data, New Chloride Sensors and LL References'
**********
2024-01-26 16:35:00.345,108,22.198000 C
2024-01-26 16:35:01.022,109,10.020600 mV
2024-01-26 16:35:01.689,110,22.496310 mV
2024-01-26 16:35:02.357,111,16.734130 mV
2024-01-26 16:35:03.024,112,-11.771170 mV
2024-01-26 16:35:03.691,113,2.884970 mV
2024-01-26 16:36:55.665,101,13.343420 mV
2024-01-26 16:36:56.333,102,17.690450 mV
2024-01-26 16:36:57.000,103,27.296370 mV
2024-01-26 16:36:57.667,104,2.077690 mV
2024-01-26 16:36:58.334,105,19.490770 mV
2024-01-26 16:36:59.002,106,12.480840 mV
2024-01-26 16:36:59.669,107,11.439710 mV
2024-01-26 16:37:00.345,108,22.201000 C
2024-01-26 16:37:01.022,109,10.018730 mV
2024-01-26 16:37:01.689,110,22.491360 mV
2024-01-26 16:37:02.357,111,16.727830 mV
2024-01-26 16:37:03.024,112,-57.931890 mV
2024-01-26 16:37:03.691,113,-40.121010 mV
2024-01-26 16:38:55.665,101,13.337890 mV
2024-01-26 16:38:56.333,102,17.688330 mV
2024-01-26 16:38:57.000,103,27.293470 mV
2024-01-26 16:38:57.667,104,2.070810 mV
2024-01-26 16:38:58.335,105,19.485170 mV
2024-01-26 16:38:59.002,106,12.477430 mV
2024-01-26 16:38:59.669,107,11.434890 mV
2024-01-26 16:39:00.345,108,22.204000 C
2024-01-26 16:39:01.022,109,10.003560 mV
2024-01-26 16:39:01.689,110,22.487380 mV
